19.04.2015                                                                                  Dynamic List Display                                                                                          1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  OLTPSOURCE                    |LOGSYS    |OBJVERS|ISOURCE                      |TRANSTRU                  |ISOSTYPE|ISTYPE|TSTPNM  |           TIMESTMP|CONTREL|       CONTTIMESTMP|ISSRCTYPE|INVISIBLE|
|  0ACN_FACT_DATA                |SAP_DEMO  |D      |0ACN_FACT_DATA               |X                         |I       |D     |        |                 0 |3.1/01 |20,020,910,081,603 |         |         |
|  0ACN_FACT_DATA                |ZFLAT2_SAP|D      |0ACN_FACT_DATA               |X                         |I       |D     |        |                 0 |3.1/01 |20,020,910,081,603 |         |         |
|  0ACN_FACT_DATA                |ZFLAT3_LEG|D      |0ACN_FACT_DATA               |X                         |I       |D     |        |                 0 |3.1/01 |20,020,910,081,603 |         |         |
|  0ACN_FACT_DATA                |ZFLAT3_SAP|D      |0ACN_FACT_DATA               |X                         |I       |D     |        |                 0 |3.1/01 |20,020,910,081,603 |         |         |
|  0ACN_FACT_DATA                |ZFLAT4_LEG|D      |0ACN_FACT_DATA               |X                         |I       |D     |        |                 0 |3.1/01 |20,020,910,081,603 |         |         |
|  0ACN_FACT_DATA                |ZFLATF_2ND|D      |0ACN_FACT_DATA               |X                         |I       |D     |        |                 0 |3.1/01 |20,020,910,081,603 |         |         |
|  0ACN_FACT_DATA                |ZFLATF_LEG|D      |0ACN_FACT_DATA               |X                         |I       |D     |        |                 0 |3.1/01 |20,020,910,081,603 |         |         |
|  0ACN_FACT_DATA                |ZFLATF_SAP|D      |0ACN_FACT_DATA               |X                         |I       |D     |        |                 0 |3.1/01 |20,020,910,081,603 |         |         |
|  0ACN_MARKET_ATTR              |PC_FILE   |D      |0ACN_MARKET                  |X                         |O       |M     |        |                 0 |3.0/01 |20,010,514,083,421 |         |         |
|  0ACN_MARKET_ATTR              |SAP_DEMO  |D      |0ACN_MARKET                  |X                         |O       |M     |        |                 0 |3.0/01 |20,010,514,083,421 |         |         |
|  0ACN_MARKET_ATTR              |ZFLAT2_SAP|D      |0ACN_MARKET                  |X                         |O       |M     |        |                 0 |3.0/01 |20,010,514,083,421 |         |         |
|  0ACN_MARKET_ATTR              |ZFLAT3_LEG|D      |0ACN_MARKET                  |X                         |O       |M     |        |                 0 |3.0/01 |20,010,514,083,421 |         |         |
|  0ACN_MARKET_ATTR              |ZFLAT3_SAP|D      |0ACN_MARKET                  |X                         |O       |M     |        |                 0 |3.0/01 |20,010,514,083,421 |         |         |
|  0ACN_MARKET_ATTR              |ZFLAT4_LEG|D      |0ACN_MARKET                  |X                         |O       |M     |        |                 0 |3.0/01 |20,010,514,083,421 |         |         |
|  0ACN_MARKET_ATTR              |ZFLATF_2ND|D      |0ACN_MARKET                  |X                         |O       |M     |        |                 0 |3.0/01 |20,010,514,083,421 |         |         |
|  0ACN_MARKET_ATTR              |ZFLATF_LEG|D      |0ACN_MARKET                  |X                         |O       |M     |        |                 0 |3.0/01 |20,010,514,083,421 |         |         |
|  0ACN_MARKET_ATTR              |ZFLATF_SAP|D      |0ACN_MARKET                  |X                         |O       |M     |        |                 0 |3.0/01 |20,010,514,083,421 |         |         |
|  0ACN_MARKET_TEXT              |PC_FILE   |D      |0ACN_MARKET                  |X                         |O       |T     |        |                 0 |2.1/01 |20,000,822,085,607 |         |         |
|  0ACN_MARKET_TEXT              |SAP_DEMO  |D      |0ACN_MARKET                  |X                         |O       |T     |        |                 0 |2.1/01 |20,000,822,085,607 |         |         |
|  0ACN_MARKET_TEXT              |ZFLAT2_SAP|D      |0ACN_MARKET                  |X                         |O       |T     |        |                 0 |2.1/01 |20,000,822,085,607 |         |         |
|  0ACN_MARKET_TEXT              |ZFLAT3_LEG|D      |0ACN_MARKET                  |X                         |O       |T     |        |                 0 |2.1/01 |20,000,822,085,607 |         |         |
|  0ACN_MARKET_TEXT              |ZFLAT3_SAP|D      |0ACN_MARKET                  |X                         |O       |T     |        |                 0 |2.1/01 |20,000,822,085,607 |         |         |
|  0ACN_MARKET_TEXT              |ZFLAT4_LEG|D      |0ACN_MARKET                  |X                         |O       |T     |        |                 0 |2.1/01 |20,000,822,085,607 |         |         |
|  0ACN_MARKET_TEXT              |ZFLATF_2ND|D      |0ACN_MARKET                  |X                         |O       |T     |        |                 0 |2.1/01 |20,000,822,085,607 |         |         |
|  0ACN_MARKET_TEXT              |ZFLATF_LEG|D      |0ACN_MARKET                  |X                         |O       |T     |        |                 0 |2.1/01 |20,000,822,085,607 |         |         |
|  0ACN_MARKET_TEXT              |ZFLATF_SAP|D      |0ACN_MARKET                  |X                         |O       |T     |        |                 0 |2.1/01 |20,000,822,085,607 |         |         |
|  0ACN_STOCK_DATA               |PC_FILE   |D      |0ACN_STOCK_DATA              |X                         |I       |D     |        |                 0 |3.2/01 |20,030,109,190,159 |         |         |
|  0ACN_STOCK_DATA               |SAP_DEMO  |D      |0ACN_STOCK_DATA              |X                         |I       |D     |        |                 0 |3.2/01 |20,030,109,190,159 |         |         |
|  0ACN_STOCK_DATA               |ZFLAT2_SAP|D      |0ACN_STOCK_DATA              |X                         |I       |D     |        |                 0 |3.2/01 |20,030,109,190,159 |         |         |
|  0ACN_STOCK_DATA               |ZFLAT3_LEG|D      |0ACN_STOCK_DATA              |X                         |I       |D     |        |                 0 |3.2/01 |20,030,109,190,159 |         |         |
|  0ACN_STOCK_DATA               |ZFLAT3_SAP|D      |0ACN_STOCK_DATA              |X                         |I       |D     |        |                 0 |3.2/01 |20,030,109,190,159 |         |         |
|  0ACN_STOCK_DATA               |ZFLAT4_LEG|D      |0ACN_STOCK_DATA              |X                         |I       |D     |        |                 0 |3.2/01 |20,030,109,190,159 |         |         |
|  0ACN_STOCK_DATA               |ZFLATF_2ND|D      |0ACN_STOCK_DATA              |X                         |I       |D     |        |                 0 |3.2/01 |20,030,109,190,159 |         |         |
|  0ACN_STOCK_DATA               |ZFLATF_LEG|D      |0ACN_STOCK_DATA              |X                         |I       |D     |        |                 0 |3.2/01 |20,030,109,190,159 |         |         |
|  0ACN_STOCK_DATA               |ZFLATF_SAP|D      |0ACN_STOCK_DATA              |X                         |I       |D     |        |                 0 |3.2/01 |20,030,109,190,159 |         |         |
|  0ACN_STOCK_UPDATE             |PC_FILE   |D      |0ACN_STOCK_UPDATE            |X                         |I       |D     |        |                 0 |3.0/01 |20,010,518,112,814 |         |         |
|  0ACN_STOCK_UPDATE             |SAP_DEMO  |D      |0ACN_STOCK_UPDATE            |X                         |I       |D     |        |                 0 |3.0/01 |20,010,518,112,814 |         |         |
|  0ACN_STOCK_UPDATE             |ZFLAT2_SAP|D      |0ACN_STOCK_UPDATE            |X                         |I       |D     |        |                 0 |3.0/01 |20,010,518,112,814 |         |         |
|  0ACN_STOCK_UPDATE             |ZFLAT3_LEG|D      |0ACN_STOCK_UPDATE            |X                         |I       |D     |        |                 0 |3.0/01 |20,010,518,112,814 |         |         |
|  0ACN_STOCK_UPDATE             |ZFLAT3_SAP|D      |0ACN_STOCK_UPDATE            |X                         |I       |D     |        |                 0 |3.0/01 |20,010,518,112,814 |         |         |
|  0ACN_STOCK_UPDATE             |ZFLAT4_LEG|D      |0ACN_STOCK_UPDATE            |X                         |I       |D     |        |                 0 |3.0/01 |20,010,518,112,814 |         |         |
