21.04.2015                     Dynamic List Display                            1
--------------------------------------------------------------------------------
-----------------------------------------------------------------------
|  INFOCUBE     |OBJVERS|POSIT|PARTCUBE     |DELTAPROV|DELTAPAIRCLASNM|
|  0CSRVMC06    |D      |    1|0CRM_IBCO    |         |               |
|  0CSRVMC06    |D      |    2|0CRM_SCOL    |         |               |
|  0CSRVMP07    |D      |    1|0CSRV_C01    |         |               |
|  0CSRVMP08    |D      |    1|0CRM_PRI     |         |               |
|  0CSRVMP09    |D      |    1|0CRM_CODT    |         |               |
|  0CUST_MC1    |D      |    1|0COPA_C02    |         |               |
|  0CUST_MC1    |D      |    2|0CUST_C1     |         |               |
|  0DB2_MP01    |D      |    1|0DB2_C01D    |         |               |
|  0DB6_MP01    |D      |    1|0DB6_C01D    |         |               |
|  0DB6_MP01    |D      |    2|0DB6_C01H    |         |               |
|  0DB6_MP01    |D      |    3|0DB6_C01M    |         |               |
|  0DB6_MP02    |D      |    1|0DB6_C02D    |         |               |
|  0DB6_MP02    |D      |    2|0DB6_C02H    |         |               |
|  0DB6_MP02    |D      |    3|0DB6_C01D    |         |               |
|  0DB6_MP02    |D      |    4|0DB6_C01H    |         |               |
|  0DB6_MP02    |D      |    5|0DB6_C01M    |         |               |
|  0DB6_MP02    |D      |    6|0DB6_C02M    |         |               |
|  0DB6_MP03    |D      |    1|0DB6_C03D    |         |               |
|  0DB6_MP03    |D      |    2|0DB6_C03H    |         |               |
|  0DB6_MP03    |D      |    3|0DB6_C03M    |         |               |
|  0DB6_MP04    |D      |    1|0DB6_C04D    |         |               |
|  0DB6_MP04    |D      |    2|0DB6_C04H    |         |               |
|  0DB6_MP04    |D      |    3|0DB6_C04M    |         |               |
|  0DB6_MP05    |D      |    1|0DB6_C05D    |         |               |
|  0DB6_MP05    |D      |    2|0DB6_C05H    |         |               |
